CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 168,Bank Branch C,159.33,160.5,1.17,Invest,3023
Client 173,Bank Branch A,162.61,162.61,0.0,Deposit,880
Client 170,Bank Branch B,161.32,162.65,1.33,Retire,237
Client 169,Bank Branch C,160.41,161.89,1.48,Invest,326
Client 168,Bank Branch C,159.33,160.5,1.17,Deposit,4948
Client 172,Bank Branch A,161.53,161.53,0.0,Retire,1117
Client 175,Bank Branch B,164.19,165.13,0.94,Loan,3017
Client 169,Bank Branch C,160.41,161.89,1.48,Retire,4908
Client 174,Bank Branch C,163.72,166.16,2.45,Deposit,4702
Client 172,Bank Branch A,161.53,161.53,0.0,Deposit,825
Client 176,Bank Branch C,165.65,167.33,1.68,Retire,3419
Client 175,Bank Branch B,164.19,165.13,0.94,Loan,435
Client 174,Bank Branch C,163.72,166.16,2.45,Loan,2342
Client 177,Bank Branch C,167.0,168.55,1.56,Invest,2904
Client 174,Bank Branch C,163.72,166.16,2.45,Retire,1997
Client 178,Bank Branch C,168.13,169.81,1.68,Retire,3615
Client 180,Bank Branch A,170.99,170.99,0.0,Loan,589
Client 178,Bank Branch C,168.13,169.81,1.68,Deposit,3172
Client 174,Bank Branch C,163.72,166.16,2.45,Deposit,2996
Client 181,Bank Branch B,172.21,172.21,0.0,Loan,1150
Client 180,Bank Branch A,170.99,170.99,0.0,Invest,3015
Client 179,Bank Branch C,169.23,172.92,3.69,Loan,1436
Client 181,Bank Branch B,172.21,172.21,0.0,Invest,507
Client 182,Bank Branch C,173.31,173.31,0.0,Invest,3813
Client 181,Bank Branch B,172.21,172.21,0.0,Invest,1995
Client 182,Bank Branch C,173.31,173.31,0.0,Retire,1939
Client 183,Bank Branch B,175.08,175.08,0.0,Deposit,1596
Client 179,Bank Branch C,169.23,172.92,3.69,Loan,4299
Client 182,Bank Branch C,173.31,173.31,0.0,Retire,1430
Client 181,Bank Branch B,172.21,172.21,0.0,Deposit,806
Client 179,Bank Branch C,169.23,172.92,3.69,Invest,3985
Client 183,Bank Branch B,175.08,175.08,0.0,Invest,2383
Client 182,Bank Branch C,173.31,173.31,0.0,Retire,4595
Client 179,Bank Branch C,169.23,172.92,3.69,Retire,3174
Client 184,Bank Branch B,176.42,177.46,1.04,Deposit,1499
Client 186,Bank Branch C,178.79,178.95,0.15,Retire,1982
Client 184,Bank Branch B,176.42,177.46,1.04,Retire,4660
Client 185,Bank Branch C,177.71,178.9,1.19,Deposit,2689
Client 187,Bank Branch B,179.86,179.86,0.0,Deposit,3531
Client 184,Bank Branch B,176.42,177.46,1.04,Deposit,1238
Client 186,Bank Branch C,178.79,178.95,0.15,Invest,2186
Client 188,Bank Branch C,181.08,181.08,0.0,Retire,1455
Client 187,Bank Branch B,179.86,179.86,0.0,Invest,3357
Client 188,Bank Branch C,181.08,181.08,0.0,Retire,818
Client 184,Bank Branch B,176.42,177.46,1.04,Invest,3082
Client 186,Bank Branch C,178.79,178.95,0.15,Retire,4467
Client 187,Bank Branch B,179.86,179.86,0.0,Invest,970
Client 189,Bank Branch C,182.19,183.33,1.15,Invest,386
Client 190,Bank Branch B,183.58,183.58,0.0,Retire,4655
Client 191,Bank Branch A,184.46,184.46,0.0,Deposit,2192
Client 190,Bank Branch B,183.58,183.58,0.0,Invest,513
Client 192,Bank Branch B,184.79,184.79,0.0,Loan,2855
Client 194,Bank Branch A,185.93,185.93,0.0,Deposit,2836
Client 192,Bank Branch B,184.79,184.79,0.0,Invest,1806
Client 193,Bank Branch A,185.61,185.61,0.0,Retire,3017
Client 195,Bank Branch B,186.49,186.49,0.0,Loan,2867
Client 196,Bank Branch A,187.24,187.27,0.03,Retire,2193
Client 193,Bank Branch A,185.61,185.61,0.0,Loan,478
Client 195,Bank Branch B,186.49,186.49,0.0,Invest,4868
Client 197,Bank Branch B,188.12,188.12,0.0,Loan,1333
Client 193,Bank Branch A,185.61,185.61,0.0,Retire,4244
Client 195,Bank Branch B,186.49,186.49,0.0,Loan,2815
Client 198,Bank Branch C,189.82,189.82,0.0,Retire,2058
Client 197,Bank Branch B,188.12,188.12,0.0,Retire,896
Client 193,Bank Branch A,185.61,185.61,0.0,Retire,576
Client 199,Bank Branch B,190.85,190.85,0.0,Deposit,3153
Client 197,Bank Branch B,188.12,188.12,0.0,Retire,1045
Client 200,Bank Branch B,191.37,192.06,0.69,Deposit,2571
Client 200,Bank Branch B,191.37,192.06,0.69,Invest,284
Client 200,Bank Branch B,191.37,192.06,0.69,Retire,1788
Client 200,Bank Branch B,191.37,192.06,0.69,Deposit,1818
